URL,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Jumlah Lantai,Kondisi Properti,Lainnya,Carport,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,IMB
https://www.rumah123.com/properti/tangerang/hos18794427/,"Rp 1,3 Miliar","Gading Serpong, Tangerang",3,2,52 m²,52 m²,Lainnya,2200 Watt,2,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18397220/,"Rp 4,5 Miliar","BSD City, Tangerang",3,4,160 m²,220 m²,Lainnya,4400 Watt,2,Bagus,Informasi tambahan tidak tersedia,2,1,1,,
https://www.rumah123.com/properti/tangerang/hos18698733/,"Rp 4,8 Miliar","BSD Puspita Loka, Tangerang",5,3,323 m²,280 m²,SHM,5500 Watt,2,Bagus,Informasi tambahan tidak tersedia,1,1,1,,
https://www.rumah123.com/properti/tangerang/hos19058671/,"Rp 6,95 Miliar","BSD Delatinos, Tangerang",4,4,350 m²,256 m²,Lainnya,5500 Watt,2,Bagus,Informasi tambahan tidak tersedia,1,1,1,,
https://www.rumah123.com/properti/tangerang/hos18049859/,"Rp 6,85 Miliar","BSD Giri Loka, Tangerang",5,3,380 m²,323 m²,SHM,5500 Watt,2,Bagus,Informasi tambahan tidak tersedia,2,2,1,,
https://www.rumah123.com/properti/tangerang/hos18492494/,"Rp 6,9 Miliar","BSD The Icon, Tangerang",4,3,300 m²,500 m²,SHM,5500 Watt,2,Bagus,Informasi tambahan tidak tersedia,2,1,1,1,
https://www.rumah123.com/properti/tangerang/hos19159041/,Rp 3 Miliar,"BSD, Tangerang",4,5,160 m²,250 m²,SHM,Lainnya,2,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19020265/,Rp 465 Juta,"Cikupa Citra Raya, Tangerang",3,1,72 m²,54 m²,SHM,1300 Watt,1,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos17304743/,"Rp 2,77 Miliar","Lippo Karawaci, Tangerang",4,3,178 m²,200 m²,HGB,3500 Watt,2,Bagus,Informasi tambahan tidak tersedia,,1,,,
https://www.rumah123.com/properti/tangerang/hos16854737/,"Rp 1,66 Miliar","Graha Raya, Tangerang",2,3,181 m²,80 m²,SHM,2200 Watt,1,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18271544/,Rp 430 Juta,"Tangerang, Tangerang",2,1,72 m²,32 m²,SHM,1300 Watt,1,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19224256/,"Rp 6,5 Miliar","BSD Vermont, Tangerang",5,4,314 m²,300 m²,PPJB,Lainnya,2,Renovasi Minimum,Informasi tambahan tidak tersedia,1,,,1,
https://www.rumah123.com/properti/tangerang/hos19072202/,Rp 3 Miliar,"BSD Green Wich, Tangerang",3,3,112 m²,133 m²,Lainnya,2200 Watt,2,Bagus,Informasi tambahan tidak tersedia,1,1,1,1,
https://www.rumah123.com/properti/tangerang/hos19101057/,"Rp 2,27 Miliar","BSD The Savia, Tangerang",4,3,133 m²,112 m²,SHM,2200 Watt,2,Bagus,Informasi tambahan tidak tersedia,1,1,1,,
